Problem NumberWidth,Height,Number Islands,Nodes Visited,Time (ms),Max Memory (MiB)
102,50,54,56,2684,2.489013671875
103,54,99,431,5124,4.77099609375
104,87,66,49,5723,6.001953125
105,71,73,300,1491,0.930908203125
106,88,65,2,5720,7.10595703125
107,77,71,405,5253,4.649169921875
108,73,74,721,4072,3.64111328125
109,60,76,583,3468,2.35791015625
110,52,63,384,3032,2.700927734375
111,91,95,1,8645,11.10107421875
112,99,78,593,7457,6.692138671875
113,83,61,1,5063,6.27783203125
114,58,70,48,4035,4.046142578125
115,81,95,83,7672,8.010986328125
116,60,56,367,3138,2.760009765625
117,82,80,12,6559,7.5849609375
118,66,60,19,3955,4.0751953125
119,69,86,710,5284,4.632080078125
120,50,67,333,1721,1.075927734375
121,64,58,369,1938,1.22705078125
122,61,61,478,2967,2.3779296875
123,87,61,625,4704,4.817138671875
124,54,90,1,4860,6.841796875
125,91,80,31,7274,8.287109375
126,71,54,480,3358,2.966064453125
127,51,61,11,3108,3.406005859375
128,69,78,220,5261,4.841064453125
129,88,61,67,5346,5.285888671875
130,93,61,734,4962,4.43701171875
131,59,69,509,3543,3.090087890625
132,77,58,1,4466,5.718994140625
133,80,68,98,5418,5.281982421875
134,71,76,1,5396,7.1259765625
135,83,74,752,5210,4.476806640625
136,94,61,760,4881,4.424072265625
137,87,81,577,6811,6.178955078125
138,68,82,576,5186,4.984130859375
139,55,84,15,4611,5.419189453125
140,89,91,907,7432,6.791015625
141,56,67,482,2929,2.0439453125
142,69,68,536,4319,4.048828125
143,64,54,13,3452,3.7890625
144,72,82,74,356,0.3759765625
145,73,83,763,4439,3.892822265625
146,85,69,620,5480,5.027099609375
147,57,55,186,3068,2.836181640625
148,85,51,1,4335,5.64794921875
149,56,93,92,5176,5.0029296875
150,89,58,467,2408,1.423095703125
151,67,93,804,4844,4.215087890625
152,95,88,944,4917,4.529052734375
153,63,89,684,4795,4.183837890625
154,90,79,521,6864,6.090087890625
155,53,75,458,2355,1.408935546875
156,79,82,836,5584,5.705078125
157,83,74,1,6142,7.81298828125
158,59,81,9,39,0.21484375
159,70,74,139,5136,5.0009765625
160,65,90,2,5850,7.06298828125
161,86,63,628,4834,4.177001953125
162,52,63,23,3275,3.469970703125
163,56,82,330,4461,4.10205078125
164,62,97,65,315,0.365966796875
165,69,81,312,1540,0.964111328125
166,60,71,563,3483,3.0458984375
167,60,70,418,2112,1.287841796875
168,76,99,952,6026,5.1708984375
169,74,87,143,700,0.531982421875
170,79,55,376,4130,3.7568359375
171,51,81,202,4047,3.62109375
172,76,64,598,3247,2.14990234375
173,65,79,60,5109,5.037841796875
174,71,87,371,1881,1.2099609375
175,77,73,679,4928,4.29296875
176,100,87,92,8670,9.080810546875
177,77,87,872,5395,4.85009765625
178,63,100,1,6300,7.8720703125
179,72,56,38,4015,3.990966796875
180,72,96,18,6906,8.424072265625
181,54,61,435,2739,1.958984375
182,84,51,34,4266,4.634033203125
183,71,52,117,566,0.3779296875
184,97,96,23,9308,10.5
185,94,60,466,2340,1.407958984375
186,65,83,1,5394,6.807861328125
187,92,91,803,4133,2.776123046875
188,63,51,355,1817,1.072998046875
189,50,98,4,4898,5.5
190,89,52,1,4628,5.9111328125
191,56,71,184,3878,3.453125
192,53,56,327,1673,1.02001953125
193,78,76,1,5928,7.40087890625
194,62,61,230,3663,3.248046875
195,97,64,40,6200,6.81396484375
196,62,72,19,4461,4.89306640625
197,91,90,3,8190,9.641845703125
198,59,98,761,4791,4.177978515625
199,50,87,1,4350,5.512939453125
200,99,60,1,5940,7.35986328125
201,91,63,760,4488,3.9169921875
202,94,78,539,7105,6.316162109375
203,55,77,406,3941,3.416015625
204,57,56,353,1852,1.113037109375
205,92,63,14,5796,6.55810546875
206,72,74,711,3980,3.49609375
207,72,76,518,5126,4.51806640625
208,73,92,879,5350,4.851806640625
209,51,72,2,3672,4.4111328125
210,56,71,447,2439,1.455078125
211,100,69,12,6897,7.924072265625
212,59,75,191,4377,4.108154296875
213,63,60,18,3775,4.09912109375
214,100,89,1114,6154,5.44482421875
215,51,81,550,3108,2.10400390625
216,91,64,556,5532,4.989990234375
217,53,70,99,3668,3.4130859375
218,86,93,209,1034,0.719970703125
219,83,81,227,1109,0.7041015625
220,75,93,113,6934,6.8837890625
221,69,70,379,1894,1.135009765625
222,99,52,242,1182,0.6748046875
223,85,76,708,3691,2.37109375
224,56,53,257,2818,2.488037109375
225,91,75,1,6825,8.784912109375
226,89,66,793,5044,4.614013671875
227,63,96,64,6024,6.057861328125
228,62,86,305,5224,4.846923828125
229,72,71,11,5112,5.81689453125
230,88,97,687,8205,7.3720703125
231,88,52,485,4303,3.864013671875
232,89,89,23,7915,8.532958984375
233,93,92,836,4371,2.91796875
234,90,84,148,7521,7.302978515625
235,95,96,1129,6450,5.708984375
236,72,67,505,4516,4.005859375
237,88,61,324,1598,0.974853515625
238,95,52,590,3155,2.048095703125
239,75,72,595,4828,4.117919921875
240,54,71,1,3834,4.801025390625
241,95,53,2,5035,5.93408203125
242,53,100,382,1868,1.154052734375
243,85,96,915,4960,4.52392578125
244,62,56,454,2699,2.10693359375
